MI,City of Bay City,32953,231,0,43,28,160,732,162,524,46
MI,Total area actually reporting,1,366,7,98,38,223,"1,411",275,"1,050",86
MI,"Rate per 100,000 inhabitants",,352,6.7,94.3,36.6,214.5,"1,357.20",264.5,"1,010.00",82.7
TX,,398704,,,,,,,,,
TX,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
TX,City of Beaumont,119368,1265,13,96,358,798,"4,516",961,"3,145",410
TX,City of Port Arthur,55643,390,13,20,96,261,"1,445",504,807,134
TX,Total area actually reporting,1,2208,31,206,520,"1,451","9,286","2,299","6,059",928
TX,Estimated total,1,2209,31,206,520,"1,452","9,294","2,301","6,064",929
TX,"Rate per 100,000 inhabitants",,554,7.8,51.7,130.4,364.2,"2,331.10",577.1,"1,520.90",233
WV,,117329, ,,,,, ,,,
WV,Includes Fayette and Raleigh Counties,,,,,,,,,,
WV,City of Beckley,16234,147,3,24,11,109,836,136,669,31
WV,Total area actually reporting,0.96,371,6,63,17,285,"2,090",458,"1,514",118
WV,Estimated total,1,387,6,63,21,297,"2,225",471,"1,631",123
WV,"Rate per 100,000 inhabitants",,329.8,5.1,53.7,17.9,253.1,"1,896.40",401.4,"1,390.10",104.8
WA,,225272, ,,,,, ,,,
WA,Includes Whatcom County,,,,,,,,,,
WA,City of Bellingham,90208,204,0,34,53,117,"3,346",459,"2,722",165
WA,Total area actually reporting,0.98,420,2,79,80,259,"5,553",978,"4,268",307
WA,Estimated total,1,438,2,81,85,270,"5,679",990,"4,377",312
WA,"Rate per 100,000 inhabitants",,194.4,0.9,36,37.7,119.9,"2,521.00",439.5,"1,943.00",138.5
OR,,191547, ,,,,, ,,,
OR,Includes Deschutes County,,,,,,,,,,
OR,City of Bend,97403,162,1,21,26,114,"2,079",164,"1,822",93
OR,Total area actually reporting,1,344,1,56,50,237,"3,863",414,"3,219",230
OR,"Rate per 100,000 inhabitants",,179.6,0.5,29.2,26.1,123.7,"2,016.70",216.1,"1,680.50",120.1
MT,,181264, ,,,,, ,,,
MT,"Includes Carbon, Stillwater, and Yellowstone Counties",,,,,,,,,,
MT,City of Billings,110397,598,8,54,108,428,"5,276",685,"3,796",795
MT,Total area actually reporting,1,776,10,72,116,578,"6,360",838,"4,593",929
MT,"Rate per 100,000 inhabitants",,428.1,5.5,39.7,64,318.9,"3,508.70",462.3,"2,533.90",512.5
NY,,236403, ,,,,, ,,,
NY,Includes Broome and Tioga Counties,,,,,,,,,,
