STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
OH,Estimated total,1,300,5,60,93,142,"2,943",650,"2,139",154
OH,"Rate per 100,000 inhabitants",,291.7,4.9,58.3,90.4,138.1,"2,861.30",631.9,"2,079.60",149.7
NE,,335032, ,,,,, ,,,
NE,Includes Lancaster and Seward Counties,,,,,,,,,,
NE,City of Lincoln,288589,1045,6,283,162,594,"8,307","1,182","6,694",431
NE,Total area actually reporting,0.99,1100,6,321,163,610,"8,758","1,247","7,047",464
NE,Estimated total,1,1108,6,322,164,616,"8,820","1,254","7,093",473
NE,"Rate per 100,000 inhabitants",,330.7,1.8,96.1,49,183.9,"2,632.60",374.3,"2,117.10",141.2
AR,,742751,,,,,,,,,
AR,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,
AR,City of Little Rock,199288,2882,40,218,371,"2,253","13,049","2,079","9,850","1,120"
AR,City of North Little Rock,66424,494,13,16,97,368,"2,287",431,"1,567",289
AR,City of Conway,66720,361,5,50,56,250,"2,229",248,"1,881",100
AR,Total area actually reporting,1,5482,68,491,662,"4,261",,,"20,691","2,522"
AR,"Rate per 100,000 inhabitants",,738.1,9.2,66.1,89.1,573.7,,,"2,785.70",339.5
UT,,140265, ,,,,, ,,,
UT,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
UT,"City of Logan, UT",51508,70,1,35,3,31,852,145,675,32
UT,Total area actually reporting,0.92,126,1,72,5,48,"1,273",211,"1,001",61
UT,Estimated total,1,126,1,72,5,48,"1,424",230,"1,127",67
UT,"Rate per 100,000 inhabitants",,89.8,0.7,51.3,3.6,34.2,"1,015.20",164,803.5,47.8
TX,,283875,,,,,,,,,
TX,"Includes Gregg, Harrison,2 Rusk, and Upshur Counties",,,,,,,,,,
TX,City of Longview,81660,326,8,53,46,219,"2,506",584,"1,722",200
TX,Total area actually reporting,0.99,945,19,111,97,718,,"1,562",,534
TX,Estimated total,1,948,19,111,97,721,,"1,568",,536
TX,"Rate per 100,000 inhabitants",,333.9,6.7,39.1,34.2,254,,552.4,,188.8
WA,,107998,,,,,,,,,
WA,Includes Cowlitz County,, ,,,,,,,,
WA,City of Longview,37720,110,2,36,21,51,"1,350",230,948,172
WA,Total area actually reporting,1,256,2,80,35,139,"2,553",482,"1,763",308
WA,"Rate per 100,000 inhabitants",,237,1.9,74.1,32.4,128.7,"2,363.90",446.3,"1,632.40",285.2
CA,,13325181,,,,,,,,,
CA,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale ,,,,,,,,,,
CA,City of Los Angeles,4029741,30126,258,"2,528","10,327","17,013","101,267","15,988","67,963","17,316"
CA,City of Long Beach,470445,3284,30,219,979,"2,056","11,922","2,328","7,315","2,279"
CA,City of Anaheim,354743,1192,7,142,407,636,"8,702","1,408","5,921","1,373"
CA,City of Santa Ana,335403,1571,21,230,499,821,"6,390",910,"3,931","1,549"
CA,City of Irvine,288052,160,0,40,53,67,"3,659",621,"2,840",198
CA,City of Glendale,204724,202,1,24,77,100,"3,110",454,"2,390",266
CA,City of Torrance,146968,267,2,35,107,123,"2,702",468,"1,951",283
CA,City of Pasadena,143448,547,7,47,174,319,"2,928",663,"1,959",306
CA,City of Orange,141108,160,3,12,73,72,"2,478",478,"1,700",300
CA,City of Costa Mesa,114358,344,3,75,110,156,"3,792",515,"2,975",302
CA,City of Burbank,105041,229,0,18,77,134,"2,625",276,"2,135",214
CA,City of Carson,92895,435,5,14,131,285,"1,971",345,"1,181",445
CA,City of Santa Monica,92674,797,7,60,278,452,"4,732",662,"3,835",235
CA,City of Newport Beach,86276,124,1,31,29,63,"2,073",397,"1,513",163
CA,City of Tustin,81243,122,0,15,49,58,"1,874",243,"1,506",125
CA,City of Gardena,60423,326,7,16,160,143,"1,306",289,702,315
CA,City of Arcadia,59151,76,1,8,41,26,"1,420",372,969,79
CA,City of Fountain Valley,56433,52,0,1,21,30,"1,496",194,"1,185",117
CA,Total area actually reporting,1,65929,619,"5,466","21,683","38,161","299,404","52,037","198,376","48,991"
CA,"Rate per 100,000 inhabitants",,494.8,4.6,41,162.7,286.4,"2,246.90",390.5,"1,488.70",367.7
CA,,3191133,,,,,,,,,
CA,Includes Orange County,,,,,,,,,,
CA,Total area actually reporting,1,7362,49,977,"2,203","4,133","61,590","9,485","44,526","7,579"
CA,"Rate per 100,000 inhabitants",,230.7,1.5,30.6,69,129.5,"1,930.00",297.2,"1,395.30",237.5
CA,,10134048,,,,,,,,,
CA,Includes Los Angeles County,,,,,,,,,,
CA,Total area actually reporting,1,58567,570,"4,489","19,480","34,028","237,814","42,552","153,850","41,412"
CA,"Rate per 100,000 inhabitants",,577.9,5.6,44.3,192.2,335.8,"2,346.70",419.9,"1,518.10",408.6
TX,,319795, ,,,,, ,,,
TX,"Includes Crosby,2 Lubbock, and Lynn Counties",,,,,,,,,,
TX,City of Lubbock,257372,2565,13,239,443,"1,870","11,743","2,312","8,228","1,203"
TX,Total area actually reporting,0.99,2649,14,263,447,"1,925","12,642","2,490","8,883","1,269"
TX,Estimated total,1,2652,14,263,447,"1,928","12,675","2,497","8,906","1,272"
TX,"Rate per 100,000 inhabitants",,829.3,4.4,82.2,139.8,602.9,"3,963.50",780.8,"2,784.90",397.8
VA,,261837, ,,,,, ,,,
VA,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Lynchburg City",,,,,,,,,,
VA,City of Lynchburg,81603,275,8,33,41,193,"1,627",181,"1,278",168
VA,Total area actually reporting,1,527,14,91,57,365,"3,535",498,"2,706",331
VA,"Rate per 100,000 inhabitants",,201.3,5.3,34.8,21.8,139.4,"1,350.10",190.2,"1,033.50",126.4
GA,,228018, ,,,,, ,,,
GA,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
GA,Total area actually reporting,1,1069,28,66,287,688,"8,682","1,924","6,094",664
GA,"Rate per 100,000 inhabitants",,468.8,12.3,28.9,125.9,301.7,"3,807.60",843.8,"2,672.60",291.2
CA,,156529, ,,,,, ,,,
CA,Includes Madera County,,,,,,,,,,
CA,City of Madera,66098,399,6,37,92,264,"1,346",241,898,207
CA,Total area actually reporting,1,896,12,70,113,701,"2,969",794,"1,728",447
CA,"Rate per 100,000 inhabitants",,572.4,7.7,44.7,72.2,447.8,"1,896.80",507.3,"1,103.90",285.6
WI,,661678, ,,,,, ,,,
WI,"Includes Columbia, Dane, Green, and Iowa Counties",,,,,,,,,,
WI,City of Madison,258455,1043,5,116,240,682,"6,722","1,061","5,129",532
WI,Total area actually reporting,1,1605,10,218,313,"1,064","11,715","1,721","9,166",828
WI,"Rate per 100,000 inhabitants",,242.6,1.5,32.9,47.3,160.8,"1,770.50",260.1,"1,385.30",125.1
NH,,413956,,,,,,,,,
NH,Includes Hillsborough County,, ,,,,,,,,
NH,City of Manchester,111422,661,4,65,144,448,"2,878",333,"2,382",163
NH,City of Nashua,88596,124,1,57,19,47,"1,144",85,991,68
NH,Total area actually reporting,0.98,946,7,165,175,599,"5,495",584,"4,601",310
NH,Estimated total,1,951,7,165,175,604,"5,644",589,"4,741",314
NH,"Rate per 100,000 inhabitants",,229.7,1.7,39.9,42.3,145.9,"1,363.40",142.3,"1,145.30",75.9
KS,,132035,,,,,,,,,
KS,"Includes Geary, Pottawatomie, and Riley Counties",, ,,,,,,,,
KS,Total area actually reporting,1,425,5,72,39,309,"2,171",303,"1,720",148
KS,"Rate per 100,000 inhabitants",,321.9,3.8,54.5,29.5,234,"1,644.30",229.5,"1,302.70",112.1
MN,,101446,,,,,,,,,
MN,Includes Blue Earth2 and Nicollet Counties,, ,,,,,,,,
MN,City of Mankato2,42606,140,0,24,17,99,"1,418",164,"1,178",76
MN,Total area actually reporting,1,205,1,47,22,135,"1,977",290,"1,580",107
MN,"Rate per 100,000 inhabitants",,202.1,1,46.3,21.7,133.1,"1,948.80",285.9,"1,557.50",105.5
OH,,120208,,,,,, ,,,
OH,Includes Richland County,,,,,,,,,,
OH,City of Mansfield,45941,237,3,60,57,117,"2,087",434,"1,577",76
OH,Total area actually reporting,0.99,319,3,101,68,147,"3,409",661,"2,607",141
OH,Estimated total,1,326,3,102,70,151,"3,507",671,"2,691",145
,"Rate per 100,000 inhabitants",,271.2,2.5,84.9,58.2,125.6,"2,917.40",558.2,"2,238.60",120.6
TX,,870548,,,,,,,,,
TX,Includes Hidalgo County,,,,,,,,,,
TX,City of McAllen,144363,122,0,39,26,57,"3,856",203,"3,598",55
TX,City of Edinburg,92391,304,2,78,50,174,"3,248",418,"2,756",74
TX,City of Mission,85368,94,0,35,27,32,"1,594",150,"1,380",64
TX,Total area actually reporting,0.99,2344,12,465,341,"1,526","20,117","2,796","16,633",688
TX,Estimated total,1,2355,12,466,342,"1,535","20,226","2,812","16,720",694
TX,"Rate per 100,000 inhabitants",,270.5,1.4,53.5,39.3,176.3,"2,323.40",323,"1,920.60",79.7
OR,,219676, ,,,,, ,,,
OR,Includes Jackson County,,,,,,,,,,
OR,City of Medford,82800,403,2,33,93,275,"4,463",471,"3,633",359
OR,Total area actually reporting,1,737,3,73,127,534,"8,016","1,049","6,338",629
OR,"Rate per 100,000 inhabitants",,335.5,1.4,33.2,57.8,243.1,"3,649.00",477.5,"2,885.20",286.3
TN,,1343002, ,,,,, ,,,
TN,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica3 Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
TN,"City of Memphis, TN",652226,12674,186,491,"3,050","8,947","41,779","8,494","28,835","4,450"
TN,Total area actually reporting,0.95,15190,225,666,"3,380","10,919","55,382","11,033","38,698","5,651"
TN,Estimated total,1,15344,231,680,"3,416","11,017","57,361","11,377","40,209","5,775"
TN,"Rate per 100,000 inhabitants",,1142.5,17.2,50.6,254.4,820.3,"4,271.10",847.1,"2,994.00",430
CA,,272901, ,,,,, ,,,
CA,Includes Merced County,,,,,,,,,,
CA,City of Merced,83659,465,1,30,116,318,"2,219",387,"1,404",428
CA,Total area actually reporting,1,1548,9,74,232,"1,233","6,761","1,412","4,050","1,299"
CA,"Rate per 100,000 inhabitants",,567.2,3.3,27.1,85,451.8,"2,477.50",517.4,"1,484.10",476
CA,,6241618,,,,,,,,,
FL,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Sunrise, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
FL,City of Miami,473047,2978,46,131,828,"1,973","16,837","2,057","13,136","1,644"
FL,City of Fort Lauderdale,182150,1006,20,73,350,563,"9,050","1,366","6,814",870
FL,City of Pompano Beach,112045,876,6,91,312,467,"4,307",608,"3,121",578
FL,City of West Palm Beach,111659,1026,27,77,354,568,"4,249",578,"3,290",381
FL,City of Boca Raton,100162,205,2,28,80,95,"2,361",277,"1,894",190
FL,City of Sunrise,95812,186,2,21,57,106,"2,350",187,"1,998",165
FL,City of Miami Beach,92928,871,5,96,279,491,"6,947",646,"5,902",399
FL,City of Deerfield Beach,81371,329,3,21,110,195,"2,490",422,"1,737",331
FL,City of Boynton Beach,79142,477,4,21,134,318,"2,964",256,"2,423",285
FL,City of Delray Beach,69970,409,6,27,84,292,"2,522",279,"2,038",205
FL,City of Jupiter,66457,132,0,15,31,86,959,84,814,61
FL,City of Doral,63680,77,2,14,12,49,"1,464",108,"1,235",121
FL,City of Palm Beach Gardens,55999,83,2,14,25,42,"1,409",125,"1,210",74
FL,City of Coral Gables,51716,68,1,14,20,33,"1,225",128,"1,035",62
FL,Total area actually reporting,1,26694,385,"2,111","7,258","16,940","173,588","19,669","136,923","16,996"
FL,"Rate per 100,000 inhabitants",,427.7,6.2,33.8,116.3,271.4,"2,781.10",315.1,"2,193.70",272.3
FL,,1962248,,,,,,,,,
FL,Includes Broward County,,,,,,,,,,
FL,Total area actually reporting,1,7094,96,629,"2,095","4,274","51,803","6,286","39,998","5,519"
FL,"Rate per 100,000 inhabitants",,361.5,4.9,32.1,106.8,217.8,"2,640.00",320.3,"2,038.40",281.3
FL,,2786840,,,,,,,,,
FL,Includes Miami-Dade County,,,,,,,,,,
FL,Total area actually reporting,1,13735,198,916,"3,653","8,968","86,869","9,181","69,349","8,339"
FL,"Rate per 100,000 inhabitants",,492.9,7.1,32.9,131.1,321.8,"3,117.10",329.4,"2,488.40",299.2
FL,,1492530,,,,,,,,,
FL,Includes Palm Beach County,,,,,,,,,,
FL,Total area actually reporting,1,5865,91,566,"1,510","3,698","34,916","4,202","27,576","3,138"
FL,"Rate per 100,000 inhabitants",,393,6.1,37.9,101.2,247.8,"2,339.40",281.5,"1,847.60",210.2
IN,,109795, ,,,,, ,,,
IN,Includes La Porte County,,,,,,,,,,
IN,City of Michigan City,30999,230,3,13,50,164,"1,373",189,"1,080",104
IN,City of La Porte,21630,111,0,11,21,79,495,91,360,44
IN,Total area actually reporting,0.96,422,3,29,77,313,"2,262",399,"1,679",184
IN,Estimated total,1,448,3,31,84,330,"2,401",422,"1,780",199
IN,"Rate per 100,000 inhabitants",,408,2.7,28.2,76.5,300.6,"2,186.80",384.4,"1,621.20",181.2
MI,,83544, ,,,,, ,,,
MI,Includes Midland County,,,,,,,,,,
MI,City of Midland,41961,55,1,19,1,34,354,36,306,12
MI,Total area actually reporting,1,119,1,55,1,62,618,101,490,27
MI,"Rate per 100,000 inhabitants",,142.4,1.2,65.8,1.2,74.2,739.7,120.9,586.5,32.3
TX,,174780, ,,,,, ,,,
TX,Includes Martin and Midland Counties,,,,,,,,,,
TX,City of Midland,140072,403,5,60,59,279,"2,764",378,"2,108",278
TX,Total area actually reporting,1,555,9,69,70,407,"3,445",482,"2,557",406
TX,"Rate per 100,000 inhabitants",,317.5,5.1,39.5,40.1,232.9,"1,971.00",275.8,"1,463.00",232.3
WI,,1579729,,,,,,,,,
WI,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
WI,City of Milwaukee,595619,8416,99,489,"2,279","5,549","17,699","4,259","8,851","4,589"
WI,City of Waukesha,72672,92,2,37,13,40,750,83,618,49
WI,Total area actually reporting,1,9631,113,690,"2,606","6,222","32,859","5,611","21,636","5,612"
WI,"Rate per 100,000 inhabitants",,609.7,7.2,43.7,165,393.9,"2,080.00",355.2,"1,369.60",355.3
MN,,3619258,,,,,,,,,
MN,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey,2 Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
MN,City of Minneapolis,428261,3395,31,432,"1,184","1,748","16,750","3,089","11,471","2,190"
MN,City of St. Paul,309756,1941,15,277,560,"1,089","10,082","1,909","5,877","2,296"
MN,City of Bloomington,86279,165,2,51,44,68,"2,592",158,"2,304",130
MN,City of Plymouth,79559,44,2,12,9,21,904,165,702,37
MN,City of Eagan,66981,59,2,18,16,23,"1,289",88,"1,148",53
MN,City of Eden Prairie,64917,39,1,15,7,16,873,65,784,24
MN,City of Minnetonka,53573,28,1,12,4,11,810,105,674,31
MN,City of Edina,52544,23,1,7,10,5,803,101,677,25
MN,Total area actually reporting,1,9167,70,"1,660","2,638","4,799","78,165","10,649","59,705","7,811"
MN,Estimated total,1,9171,70,"1,661","2,641","4,799","78,195","10,649","59,735","7,811"
MN,"Rate per 100,000 inhabitants",,253.4,1.9,45.9,73,132.6,"2,160.50",294.2,"1,650.50",215.8
MT,,118931, ,,,,, ,,,
MT,Includes Missoula County,,,,,,,,,,
MT,City of Missoula,74300,333,2,65,42,224,"3,521",379,"2,944",198
MT,Total area actually reporting,1,413,2,83,47,281,"4,131",497,"3,380",254
MT,"Rate per 100,000 inhabitants",,347.3,1.7,69.8,39.5,236.3,"3,473.40",417.9,"2,842.00",213.6
AL,,430335, ,,,,, ,,,
AL,Includes Mobile and Washington Counties,,,,,,,,,,
AL,City of Mobile6,245475,1613,26,168,378,"1,041","12,094","2,568","8,442","1,084"
AL,Total area actually reporting,1,2266,37,202,469,"1,558","16,744","3,803","11,206","1,735"
AL,"Rate per 100,000 inhabitants",,526.6,8.6,46.9,109,362,"3,890.90",883.7,"2,604.00",403.2
CA,,548464, ,,,,, ,,,
CA,Includes Stanislaus County,,,,,,,,,,
CA,City of Modesto,215822,1904,16,105,420,"1,363","7,727","1,109","5,420","1,198"
CA,Total area actually reporting,1,3160,40,190,811,"2,119","15,300","2,696","10,018","2,586"
CA,"Rate per 100,000 inhabitants",,576.2,7.3,34.6,147.9,386.4,"2,789.60",491.6,"1,826.60",471.5
LA,,202029, ,,,,, ,,,
LA,"Includes Morehouse, Ouachita,2 and Union Parishes",,,,,,,,,,
LA,City of Monroe,48291,677,4,28,147,498,"3,278",749,"2,358",171
LA,Total area actually reporting,0.98,1454,11,87,237,"1,119","8,834","2,368","5,984",482
LA,Estimated total,1,1464,11,87,237,"1,129","8,963","2,390","6,089",484
LA,"Rate per 100,000 inhabitants",,724.6,5.4,43.1,117.3,558.8,"4,436.50","1,183.00","3,013.90",239.6
MI,,149626, ,,,,, ,,,
MI,Includes Monroe County,,,,,,,,,,
MI,City of Monroe,19754,114,0,25,11,78,383,66,295,22
MI,Total area actually reporting,0.97,380,2,114,34,230,"1,851",395,"1,310",146
MI,Estimated total,1,388,2,116,37,233,"1,899",399,"1,353",147
MI,"Rate per 100,000 inhabitants",,259.3,1.3,77.5,24.7,155.7,"1,269.20",266.7,904.3,98.2
AL,,373669, ,,,,, ,,,
AL,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
AL,City of Montgomery,198662,1216,29,39,391,757,"8,480","2,052","5,456",972
AL,Total area actually reporting,1,1712,39,112,480,"1,081","12,727","2,805","8,608","1,314"
AL,Estimated total,1,1712,39,112,480,"1,081","12,735","2,805","8,616","1,314"
AL,"Rate per 100,000 inhabitants",,458.2,10.4,30,128.5,289.3,"3,408.10",750.7,"2,305.80",351.6
TN,,141820, ,,,,, ,,,
TN,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
TN,City of Morristown,29884,242,0,22,14,206,"1,388",164,"1,131",93
TN,Total area actually reporting,1,534,1,53,37,443,"3,032",531,"2,201",300
TN,"Rate per 100,000 inhabitants",,376.5,0.7,37.4,26.1,312.4,"2,137.90",374.4,"1,552.00",211.5
WA,,127401,,,,,,,,,
WA,Includes Skagit County,, ,,,,,,,,
WA,City of Mount Vernon,35550,99,2,16,26,55,"1,308",233,964,111
WA,City of Anacortes,17130,30,0,8,3,19,380,64,308,8
WA,Total area actually reporting,1,248,4,39,46,159,"3,633",695,"2,672",266
WA,"Rate per 100,000 inhabitants",,194.7,3.1,30.6,36.1,124.8,"2,851.60",545.5,"2,097.30",208.8
IN,,114803, ,,,,, ,,,
IN,Includes Delaware County,,,,,,,,,,
IN,City of Muncie,68406,219,1,40,80,98,"2,281",407,"1,434",440
IN,Total area actually reporting,1,281,1,59,83,138,"2,760",513,"1,756",491
IN,"Rate per 100,000 inhabitants",,244.8,0.9,51.4,72.3,120.2,"2,404.10",446.9,"1,529.60",427.7
MI,,174304, ,,,,, ,,,
MI,Includes Muskegon County,,,,,,,,,,
MI,City of Muskegon,38125,245,7,39,31,168,"1,717",321,"1,226",170
MI,Total area actually reporting,1,754,14,154,92,494,"5,676",774,"4,521",381
MI,"Rate per 100,000 inhabitants",,432.6,8,88.4,52.8,283.4,"3,256.40",444.1,"2,593.70",218.6
SC,,477881,,,,,,,,,
SC,"Includes Brunswick County, NC3 and Horry County, SC",, ,,,,,,,,
SC,"City of Myrtle Beach, SC",33687,473,4,64,129,276,"3,553",410,"2,883",260
SC,"City of Conway, SC",24784,141,1,15,22,103,960,164,748,48
SC,City of North Myrtle Beach,16688,105,1,28,16,60,,192,782,
SC,Total area actually reporting,0.98,1852,30,292,312,"1,218",,"2,560","10,425",
SC,Estimated total,1,1910,30,326,315,"1,239",,"2,612","10,613",
SC,"Rate per 100,000 inhabitants",,399.7,6.3,68.2,65.9,259.3,,546.6,"2,220.80",
CA,,140489, ,,,,, ,,,
CA,Includes Napa County,,,,,,,,,,
CA,City of Napa,80145,269,0,56,46,167,"1,241",258,814,169
CA,Total area actually reporting,1,683,1,84,67,531,"2,033",405,"1,387",241
CA,"Rate per 100,000 inhabitants",,486.2,0.7,59.8,47.7,378,"1,447.10",288.3,987.3,171.5
FL,,380429,,,,,,,,,
FL,Includes Collier County,, ,,,,,,,,
FL,City of Naples,22308,9,0,0,2,7,320,19,277,24
FL,City of Marco Island,18122,6,0,0,1,5,98,11,82,5
FL,Total area actually reporting,1,913,9,109,141,654,"4,228",535,"3,449",244
FL,"Rate per 100,000 inhabitants",,240,2.4,28.7,37.1,171.9,"1,111.40",140.6,906.6,64.1
TN,,1913148,,,,,,,,,
TN,"Includes Cannon, Cheatham, Davidson, Dickson, Macon, Maury, Robertson, Rutherford,4 Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
TN,City of Metropolitan Nashville Police Department,686492,7641,91,480,"2,116","4,954","27,537","3,627","20,828","3,082"
TN,City of Murfreesboro,140702,613,11,77,107,418,"4,417",649,"3,458",310
TN,City of Franklin,80825,119,0,19,9,91,982,77,850,55
TN,Total area actually reporting,1,11462,150,879,"2,465","7,968",,"6,551","37,424",
TN,"Rate per 100,000 inhabitants",,599.1,7.8,45.9,128.8,416.5,,342.4,"1,956.10",
NC,,124530,,,,,,,,,
NC,"Includes Craven, Jones, and Pamlico Counties3",, ,,,,,,,,
NC,City of New Bern3,29600,,0,,27,81,940,195,718,27
NC,Total area actually reporting,0.89,298,1,28,45,224,"2,483",740,"1,622",121
NC,Estimated total,1,330,1,31,49,249,"2,760",814,"1,809",137
NC,"Rate per 100,000 inhabitants",,265,0.8,24.9,39.3,200,"2,216.30",653.7,"1,452.70",110
CT,,805875,,,,,,,,,
CT,Includes New Haven County,, ,,,,,,,,
CT,City of New Haven,131181,1105,10,60,320,715,"5,111",749,"3,688",674
CT,City of Milford,54754,37,0,1,25,11,"1,119",193,846,80
CT,Total area actually reporting,1,2377,24,200,765,"1,388","19,635","2,615","14,424","2,596"
CT,"Rate per 100,000 inhabitants",,295,3,24.8,94.9,172.2,"2,436.50",324.5,"1,789.90",322.1
LA,,1275532,,,,,,,,,
LA,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
LA,City of New Orleans,396374,4611,147,681,"1,219","2,564","18,063","2,027","13,042","2,994"
LA,Total area actually reporting,1,7191,198,882,"1,713","4,398",,"4,757",,"4,258"
LA,"Rate per 100,000 inhabitants",,563.8,15.5,69.1,134.3,344.8,,372.9,,333.8
MI,,154218,,,,,,,,,
MI,Includes Berrien County,,,,,,,,,,
MI,City of Niles,11154,70,0,18,14,38,273,49,196,28
MI,Total area actually reporting,1,810,5,154,92,559,"3,124",631,"2,257",236
MI,"Rate per 100,000 inhabitants",,525.2,3.2,99.9,59.7,362.5,"2,025.70",409.2,"1,463.50",153
FL,,819882,,,,,,,,,
FL,Includes Manatee and Sarasota Counties,,,,,,,,,,
FL,City of North Port,67682,117,4,34,18,61,"1,186",132,"1,026",28
FL,City of Sarasota,57718,337,3,22,82,230,"1,877",301,"1,442",134
FL,City of Bradenton,57647,388,1,30,76,281,"1,564",227,"1,258",79
FL,City of Venice,23362,25,0,1,2,22,323,38,269,16
FL,Total area actually reporting,1,2751,29,248,440,"2,034","14,937","2,205","11,851",881
FL,"Rate per 100,000 inhabitants",,335.5,3.5,30.2,53.7,248.1,"1,821.80",268.9,"1,445.50",107.5
CT,,176337,,,,,,,,,
CT,Includes New London County,,,,,,,,,,
CT,City of Norwich,39318,108,0,35,27,46,498,93,362,43
CT,City of New London,26995,122,2,30,39,51,568,113,388,67
CT,Total area actually reporting,1,365,3,93,78,191,"2,662",314,"2,191",157
CT,"Rate per 100,000 inhabitants",,207,1.7,52.7,44.2,108.3,"1,509.60",178.1,"1,242.50",89
FL,,357538,,,,,,,,,
FL,Includes Marion County,, ,,,,, ,,,
FL,City of Ocala,59505,405,7,58,106,234,"2,871",406,"2,286",179
FL,Total area actually reporting,1,1475,29,244,199,"1,003","7,428","1,611","5,175",642
FL,"Rate per 100,000 inhabitants",,412.5,8.1,68.2,55.7,280.5,"2,077.50",450.6,"1,447.40",179.6
NJ,,91732,,,,,,,,,
NJ,Includes Cape May County,, ,,,,, ,,,
NJ,City of Ocean City,11138,5,0,0,0,5,283,33,249,1
NJ,Total area actually reporting,1,185,1,23,37,124,"1,919",321,"1,557",41
NJ,"Rate per 100,000 inhabitants",,201.7,1.1,25.1,40.3,135.2,"2,092.00",349.9,"1,697.30",44.7
TX,,159752,,,,,,,,,
TX,Includes Ector County,, ,,,,, ,,,
TX,City of Odessa,119545,1049,8,118,104,819,"2,996",504,"2,123",369
TX,Total area actually reporting,1,1215,12,123,125,955,"4,574",794,"3,153",627
TX,"Rate per 100,000 inhabitants",,760.6,7.5,77,78.2,597.8,"2,863.20",497,"1,973.70",392.5
UT,,677282,,,,,,,,,
UT,"Includes Box Elder, Davis, Morgan, and Weber Counties",,,,,,,,,,
UT,City of Ogden,87616,417,5,74,81,257,"3,218",500,"2,319",399
UT,City of Clearfield,31558,59,0,15,8,36,462,68,341,53
UT,Total area actually reporting,1,1136,11,356,168,601,"12,125","1,899","9,143","1,083"
UT,Estimated total,1,1137,11,356,168,602,"12,146","1,902","9,159","1,085"
UT,"Rate per 100,000 inhabitants",,167.9,1.6,52.6,24.8,88.9,"1,793.30",280.8,"1,352.30",160.2
OK,,1397950,,,,,,,,,
OK,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",, ,,,,, ,,,
OK,City of Oklahoma City,652865,5663,52,542,"1,082","3,987","26,298","6,000","16,668","3,630"
OK,Total area actually reporting,1,7402,72,859,"1,333","5,138","43,021","9,568","28,012","5,441"
OK,"Rate per 100,000 inhabitants",,529.5,5.2,61.4,95.4,367.5,"3,077.40",684.4,"2,003.80",389.2
WA,,285879,,,,,,,,,
WA,Includes Thurston County,, ,,,,, ,,,
WA,City of Olympia,52312,246,1,38,50,157,"2,020",320,"1,473",227
WA,City of Lacey,50844,96,4,15,17,60,"1,374",190,"1,087",97
WA,City of Tumwater,23405,84,1,15,9,59,703,155,481,67
WA,Total area actually reporting,1,751,8,110,101,532,"6,385","1,434","4,314",637
WA,"Rate per 100,000 inhabitants",,262.7,2.8,38.5,35.3,186.1,"2,233.50",501.6,"1,509.00",222.8
FL,,2566617,,,,,,,,,
FL,"Includes Lake, Orange, Osceola, and Seminole Counties",, ,,,,, ,,,
FL,City of Orlando,286679,2282,39,200,628,"1,415","13,803","1,619","10,965","1,219"
FL,City of Kissimmee,72894,288,3,26,58,201,"1,839",285,"1,419",135
FL,City of Sanford,60154,421,5,57,83,276,"2,133",356,"1,661",116
FL,Total area actually reporting,1,11359,139,"1,281","2,390","7,549","62,884","10,424","47,582","4,878"
FL,Estimated total,1,11367,139,"1,281","2,392","7,555","62,946","10,438","47,625","4,883"
FL,"Rate per 100,000 inhabitants",,442.9,5.4,49.9,93.2,294.4,"2,452.50",406.7,"1,855.60",190.3
KY,,118844,,,,,,,,,
KY,"Includes Daviess, Hancock, and McLean Counties",, ,,,,, ,,,
KY,City of Owensboro,59686,160,2,42,59,57,"2,638",453,"1,945",240
KY,Total area actually reporting,1,180,4,49,63,64,"3,097",582,"2,228",287
KY,"Rate per 100,000 inhabitants",,151.5,3.4,41.2,53,53.9,"2,605.90",489.7,"1,874.70",241.5
CA,,851810,,,,,,,,,
