Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,GA,Georgia,Roswell,7,6.7,7.1,,,
2017,HI,Hawaii,Honolulu,3.9,3.8,4.1,,,
2017,HI,Hawaii,Honolulu,5.5,5.4,5.6,,,
2017,HI,Hawaii,Honolulu,6,5.8,6.3,,,
2017,GA,Georgia,Augusta,4.4,4.3,4.6,,,
2017,HI,Hawaii,Honolulu,2.6,2.5,2.7,,,
2017,HI,Hawaii,Honolulu,5.5,5.4,5.6,,,
2017,HI,Hawaii,Honolulu,6.7,6.6,6.9,,,
2017,GA,Georgia,Savannah,5.6,5.3,5.8,,,
2017,GA,Georgia,Columbus,5,4.8,5.2,,,
2017,GA,Georgia,Roswell,3.9,3.8,4.1,,,
2017,GA,Georgia,Augusta,6.2,6,6.5,,,
2017,GA,Georgia,Columbus,6.4,6.2,6.7,,,
2017,GA,Georgia,Macon,7.2,6.9,7.4,,,
2017,ID,Idaho,Nampa,5.1,5,5.3,,,
2017,HI,Hawaii,Honolulu,5.7,5.4,6,,,
2017,ID,Idaho,Boise City,4.9,4.7,5.1,,,
2017,GA,Georgia,Augusta,5.1,5,5.3,,,
2017,HI,Hawaii,Honolulu,3.9,3.8,4.1,,,
2017,HI,Hawaii,Honolulu,6.8,6.6,7,,,
2017,GA,Georgia,Augusta,1.3,1.3,1.4,,,
2017,ID,Idaho,Boise City,6.4,6.3,6.7,,,
2017,GA,Georgia,Sandy Springs,3.9,3.7,4,,,
2017,ID,Idaho,Boise City,4.9,4.7,5.1,,,
2017,GA,Georgia,Macon,12.2,11.5,13,,,
2017,ID,Idaho,Boise City,2.9,2.8,3,,,
2017,HI,Hawaii,Honolulu,3.9,3.8,4,,,
2017,GA,Georgia,Roswell,8.7,8,9.1,,,
2017,GA,Georgia,Augusta,5.7,5.4,5.9,,,
2017,GA,Georgia,Savannah,5.6,5.5,5.8,,,
2017,HI,Hawaii,Honolulu,5.5,5.4,5.6,,,
2017,GA,Georgia,Columbus,5.2,5,5.5,,,
2017,HI,Hawaii,Honolulu,,,,,,
2017,ID,Idaho,Nampa,7.3,7,7.7,,,
2017,HI,Hawaii,Honolulu,6.1,5.9,6.3,,,
2017,GA,Georgia,Macon,6.3,6.1,6.5,,,
2017,HI,Hawaii,Honolulu,6.9,6.8,7.1,,,
2017,GA,Georgia,Augusta,6.5,6.3,6.8,,,
2017,GA,Georgia,Savannah,4.5,4.2,4.9,,,
2017,GA,Georgia,Warner Robins,4.9,4.8,5.1,,,
2017,HI,Hawaii,Honolulu,6.9,6.4,7.2,,,
2017,HI,Hawaii,Honolulu,5.7,5.5,5.9,,,
2017,HI,Hawaii,Honolulu,5.3,5.1,5.6,,,
2017,HI,Hawaii,Honolulu,5,4.9,5.2,,,
2017,HI,Hawaii,Honolulu,6.5,6.3,6.7,,,
2017,HI,Hawaii,Honolulu,6,5.8,6.3,,,
2017,HI,Hawaii,Honolulu,6.2,6,6.3,,,
2017,HI,Hawaii,Honolulu,6.1,6,6.2,,,
2017,HI,Hawaii,Honolulu,5.2,5,5.4,,,
2017,HI,Hawaii,Honolulu,4.6,4.4,4.7,,,
2017,HI,Hawaii,Honolulu,4.4,4.3,4.5,,,
2017,ID,Idaho,Boise City,5,4.8,5.2,,,
2017,ID,Idaho,Nampa,6,5.9,6,,,
2017,GA,Georgia,Columbus,6.4,6.2,6.6,,,
2017,HI,Hawaii,Honolulu,7,6.8,7.2,,,
2017,GA,Georgia,Warner Robins,4.6,4.3,4.9,,,
2017,HI,Hawaii,Honolulu,4.6,4.5,4.7,,,
2017,GA,Georgia,Savannah,4.2,4,4.4,,,
2017,GA,Georgia,Sandy Springs,,,,,,
2017,ID,Idaho,Nampa,6.4,6.3,6.5,,,
2017,GA,Georgia,Augusta,6.3,6.2,6.5,,,
2017,ID,Idaho,Boise City,6.5,6.3,6.8,,,
2017,HI,Hawaii,Honolulu,3.2,3.1,3.2,,,
2017,GA,Georgia,Savannah,5.5,5.3,5.7,,,
2017,GA,Georgia,Macon,5.7,5.5,5.8,,,
2017,GA,Georgia,Sandy Springs,5.8,5.5,6.1,,,
2017,HI,Hawaii,Honolulu,5.6,5.4,5.9,,,
2017,GA,Georgia,Augusta,7.7,7.3,8.1,,,
2017,GA,Georgia,Savannah,,,,,,
2017,ID,Idaho,Meridian,5.9,5.9,6,,,
2017,ID,Idaho,Boise City,6.7,6.2,7.2,,,
2017,HI,Hawaii,Honolulu,6.7,6.4,7,,,
2017,GA,Georgia,Augusta,6,5.9,6,,,
2017,HI,Hawaii,Honolulu,6.1,6,6.3,,,
2017,ID,Idaho,Nampa,8.3,7.9,8.7,,,
